item,level,node_type,zone,coord
Muddy Water,5 ,Mineral Deposit,Central Thanalan,(x18y25) 
Copper Ore,5 ,Mineral Deposit,Central Thanalan,(x18y25) 
Wind Shard,5 ,Mineral Deposit,Central Thanalan,(x18y25) 
Lightning Shard,5 ,Mineral Deposit,Central Thanalan,(x18y25) 
Bone Chip,5 ,Mineral Deposit,Central Thanalan,(x24y26) 
Wind Shard,5 ,Mineral Deposit,Central Thanalan,(x24y26) 
Lightning Shard,5 ,Mineral Deposit,Central Thanalan,(x24y26) 
Muddy Water,5 ,Mineral Deposit,Western Thanalan,(x26y25) 
Copper Ore,5 ,Mineral Deposit,Western Thanalan,(x26y25) 
Fire Shard,5 ,Mineral Deposit,Western Thanalan,(x26y25) 
Water Shard,5 ,Mineral Deposit,Western Thanalan,(x26y25) 
Tin Ore,10 ,Mineral Deposit,Central Thanalan,(x20y22) 
Zinc Ore,10 ,Mineral Deposit,Central Thanalan,(x20y22) 
Soiled Femur,10 ,Mineral Deposit,Central Thanalan,(x20y22) 
Lightning Shard,10 ,Mineral Deposit,Central Thanalan,(x20y22) 
Tin Ore,10 ,Mineral Deposit,Western Thanalan,(x22y28) 
Zinc Ore,10 ,Mineral Deposit,Western Thanalan,(x22y28) 
Soiled Femur,10 ,Mineral Deposit,Western Thanalan,(x22y28) 
Obsidian,10 ,Mineral Deposit,Western Thanalan,(x22y28) 
Water Shard,10 ,Mineral Deposit,Western Thanalan,(x22y28) 
Raw Sunstone,10 ,Mineral Deposit,Lower La Noscea,(x27y18) 
Earth Shard,10 ,Mineral Deposit,Lower La Noscea,(x27y18) 
Raw Lapis Lazuli,10 ,Mineral Deposit,North Shroud,(x28y25) 
Earth Shard,10 ,Mineral Deposit,North Shroud,(x28y25) 
Potter's Clay,10 ,Mineral Deposit,North Shroud,(x28y25) 
Rock Salt,15 ,Rocky Outcrop,Central Thanalan,(x14y23) 
Ragstone,15 ,Rocky Outcrop,Central Thanalan,(x14y23) 
Fine Sand,15 ,Rocky Outcrop,Central Thanalan,(x14y23) 
Lightning Shard,15 ,Rocky Outcrop,Central Thanalan,(x14y23) 
Iron Sand,15 ,Rocky Outcrop,Western Thanalan,(x24y18) 
Cinnabar,15 ,Rocky Outcrop,Western Thanalan,(x24y18) 
Copper Sand,15 ,Rocky Outcrop,Western Thanalan,(x24y18) 
Water Shard,15 ,Rocky Outcrop,Western Thanalan,(x24y18) 
Iron Ore,15 ,Mineral Deposit,Western Thanalan,(x27y17) 
Water Shard,15 ,Mineral Deposit,Western Thanalan,(x27y17) 
Raw Sphene,20 ,Mineral Deposit,North Shroud,(x29y22) 
Earth Shard,20 ,Mineral Deposit,North Shroud,(x29y22) 
Alumen,20 ,Mineral Deposit,Eastern Thanalan,(x17y20) 
Raw Malachite,20 ,Mineral Deposit,Eastern Thanalan,(x17y20) 
Raw Fluorite,20 ,Mineral Deposit,Eastern Thanalan,(x17y20) 
Fire Shard,20 ,Mineral Deposit,Eastern Thanalan,(x17y20) 
Sunrise Tellin,20 ,Mineral Deposit,Western La Noscea,(x29y22) 
Raw Danburite,20 ,Mineral Deposit,Western La Noscea,(x29y22) 
Ice Shard,20 ,Mineral Deposit,Western La Noscea,(x29y22) 
Grade 1 Carbonized Matter,20 ,Rocky Outcrop,Middle La Noscea,(x15y10) 
Fire Shard,20 ,Rocky Outcrop,Middle La Noscea,(x15y10) 
Mudstone,20 ,Rocky Outcrop,Western La Noscea,(x26y24) 
Ice Shard,20 ,Rocky Outcrop,Western La Noscea,(x26y24) 
Limestone,20 ,Rocky Outcrop,Western La Noscea,(x26y24) 
Fire Rock,25 ,Rocky Outcrop,Upper La Noscea,(x12y23) 
Water Rock,25 ,Rocky Outcrop,Upper La Noscea,(x12y23) 
Lightning Rock,25 ,Rocky Outcrop,Upper La Noscea,(x12y23) 
Earth Shard,25 ,Rocky Outcrop,Upper La Noscea,(x12y23) 
Silver Sand,25 ,Rocky Outcrop,South Shroud,(x23y21) 
Earth Rock,25 ,Rocky Outcrop,South Shroud,(x23y21) 
Ice Rock,25 ,Rocky Outcrop,South Shroud,(x23y21) 
Wind Rock,25 ,Rocky Outcrop,South Shroud,(x23y21) 
Ice Shard,25 ,Rocky Outcrop,South Shroud,(x23y21) 
Effervescent Water,25 ,Mineral Deposit,South Shroud,(x15y19) 
Silver Ore,25 ,Mineral Deposit,South Shroud,(x15y19) 
Ice Shard,25 ,Mineral Deposit,South Shroud,(x15y19) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,Eastern Thanalan,(x23y19) 
Red Pigment,30 ,Rocky Outcrop,Eastern Thanalan,(x23y19) 
Fire Shard,30 ,Rocky Outcrop,Eastern Thanalan,(x23y19) 
Fire Crystal,30 ,Rocky Outcrop,Eastern Thanalan,(x23y19) 
Grade 1 Thanalan Topsoil,30 ,Rocky Outcrop,Eastern Thanalan,(x23y19) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,Western Thanalan,(x23y23) 
Blue Pigment,30 ,Rocky Outcrop,Western Thanalan,(x23y23) 
Water Shard,30 ,Rocky Outcrop,Western Thanalan,(x23y23) 
Water Crystal,30 ,Rocky Outcrop,Western Thanalan,(x23y23) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,Western La Noscea,(x31y28) 
Grey Pigment,30 ,Rocky Outcrop,Western La Noscea,(x31y28) 
Ice Shard,30 ,Rocky Outcrop,Western La Noscea,(x31y28) 
Ice Crystal,30 ,Rocky Outcrop,Western La Noscea,(x31y28) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Yellow Pigment,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Brown Pigment,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Earth Shard,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Earth Crystal,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Grade 1 La Noscean Topsoil,30 ,Rocky Outcrop,Lower La Noscea,(x26y15) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,East Shroud,(x20y27) 
Green Pigment,30 ,Rocky Outcrop,East Shroud,(x20y27) 
Wind Shard,30 ,Rocky Outcrop,East Shroud,(x20y27) 
Wind Crystal,30 ,Rocky Outcrop,East Shroud,(x20y27) 
Grade 1 Shroud Topsoil,30 ,Rocky Outcrop,East Shroud,(x20y27) 
Grade 2 Carbonized Matter,30 ,Rocky Outcrop,Southern Thanalan,(x18y11) 
Purple Pigment,30 ,Rocky Outcrop,Southern Thanalan,(x18y11) 
Lightning Shard,30 ,Rocky Outcrop,Southern Thanalan,(x18y11) 
Lightning Crystal,30 ,Rocky Outcrop,Southern Thanalan,(x18y11) 
Wyvern Obsidian,30 ,Mineral Deposit,Eastern Thanalan,(x26y17) 
Saltpeter,30 ,Mineral Deposit,Eastern Thanalan,(x26y17) 
Fire Shard,30 ,Mineral Deposit,Eastern Thanalan,(x26y17) 
Bomb Ash,30 ,Rocky Outcrop,Southern Thanalan,(x22y29) 
Silex,30 ,Rocky Outcrop,Southern Thanalan,(x22y29) 
Lightning Shard,30 ,Rocky Outcrop,Southern Thanalan,(x22y29) 
Siltstone,30 ,Rocky Outcrop,Upper La Noscea,(x12y26) 
Brimstone,30 ,Rocky Outcrop,Upper La Noscea,(x12y26) 
Raw Garnet,35 ,Mineral Deposit,Eastern La Noscea,(x28y27) 
Raw Aquamarine,35 ,Mineral Deposit,Eastern La Noscea,(x28y27) 
Raw Goshenite,35 ,Mineral Deposit,Eastern La Noscea,(x28y27) 
Water Shard,35 ,Mineral Deposit,Eastern La Noscea,(x28y27) 
Raw Peridot,35 ,Mineral Deposit,Central Shroud,(x14y21) 
Raw Amethyst,35 ,Mineral Deposit,Central Shroud,(x14y21) 
Granite,35 ,Mineral Deposit,Central Shroud,(x14y21) 
Wind Shard,35 ,Mineral Deposit,Central Shroud,(x14y21) 
Mythril Sand,35 ,Rocky Outcrop,Southern Thanalan,(x17y18) 
Lightning Shard,35 ,Rocky Outcrop,Southern Thanalan,(x17y18) 
Raw Heliodor,35 ,Mineral Deposit,Southern Thanalan,(x25y41) 
Mythril Ore,35 ,Mineral Deposit,Southern Thanalan,(x25y41) 
Lightning Shard,35 ,Mineral Deposit,Southern Thanalan,(x25y41) 
Little Worm,35 ,Mineral Deposit,Southern Thanalan,(x25y41) 
Jade,40 ,Mineral Deposit,Coerthas Central Highlands,(x24y19) 
Raw Zircon,40 ,Mineral Deposit,Coerthas Central Highlands,(x24y19) 
Ice Shard,40 ,Mineral Deposit,Coerthas Central Highlands,(x24y19) 
Black Alumen,40 ,Mineral Deposit,South Shroud,(x28y22) 
Raw Tourmaline,40 ,Mineral Deposit,South Shroud,(x28y22) 
Raw Spinel,40 ,Mineral Deposit,South Shroud,(x28y22) 
Ice Shard,40 ,Mineral Deposit,South Shroud,(x28y22) 
Grenade Ash,40 ,Rocky Outcrop,Northern Thanalan,(x21y28) 
Wind Shard,40 ,Rocky Outcrop,Northern Thanalan,(x21y28) 
Electrum Ore,45 ,Mineral Deposit,Upper La Noscea,(x30y25) 
Raw Turquoise,45 ,Mineral Deposit,Upper La Noscea,(x30y25) 
Earth Shard,45 ,Mineral Deposit,Upper La Noscea,(x30y25) 
Electrum Sand,45 ,Rocky Outcrop,Upper La Noscea,(x28y22) 
Marble,45 ,Rocky Outcrop,Upper La Noscea,(x28y22) 
Earth Shard,45 ,Rocky Outcrop,Upper La Noscea,(x28y22) 
Raw Amber,45 ,Mineral Deposit,Eastern Thanalan,(x12y19) 
Raw Rubellite,45 ,Mineral Deposit,Eastern Thanalan,(x12y19) 
Fire Shard,45 ,Mineral Deposit,Eastern Thanalan,(x12y19) 
Cobalt Ore,50 ,Mineral Deposit,Northern Thanalan,(x22y24) 
Adamantoise Shell,50 ,Mineral Deposit,Northern Thanalan,(x22y24) 
